number,excavation,type,chronology,exterior_diam,inside_diam,rim_h,rim_w,shape_w,rim_inside_h,rim_w_2,protruding_rim,site
1,delicias,Dressel B,A,150,120,44,24,11,40,9,40,delicias
2,delicias,Dressel B,A,140,102,46,30,7,45,16,39,delicias
3,delicias,Dressel B,A,150,110,45,25,11,41,22,36,delicias
4,delicias,Dressel E,C,180,90,35,40,14,28,35,9,delicias
5,delicias,Dressel B,A,130,86,44,27,12,36,17,32,delicias
6,delicias,Dressel B,A,150,88,30,32,12,18,22,16,delicias
7,delicias,Dressel B,A,150,110,44,23,11,30,13,10,delicias
8,delicias,Dressel D,B,175,87,29,48,10,20,44,18,delicias
9,delicias,Dressel C,A-B,150,80,30,38,11,25,34,23,delicias
10,delicias,Dressel C,A-B,145,94,48,28,11,30,25,19,delicias
11,delicias,Dressel C,A-B,130,84,35,33,7,30,34,17,delicias
12,delicias,Dressel E,C,174,90,29,39,10,28,37,16,delicias
13,delicias,Dressel D,B,180,95,29,40,9,25,37,13,delicias
14,delicias,Dressel E,C,170,90,32,42,11,23,39,11,delicias
15,delicias,Dressel E,C,182,90,30,42,9,29,38,12,delicias
16,delicias,Dressel E,C,175,93,30,41,7,24,38,17,delicias
17,delicias,Dressel E,C,170,86,31,41,9,29,39,14,delicias
18,delicias,Dressel D,B,175,83,33,37,9,30,35,13,delicias
19,delicias,Dressel D,B,170,79,35,40,10,27,37,14,delicias
20,delicias,Dressel D,B,170,80,38,38,9,28,34,20,delicias
21,delicias,Dressel E,C,170,85,35,41,9,28,39,17,delicias
22,delicias,Dressel E,C,180,90,34,40,11,33,36,8,delicias
23,delicias,Dressel D,B,173,87,35,39,10,27,35,18,delicias
24,delicias,Dressel D,B,176,90,32,37,10,28,33,11,delicias
25,delicias,Dressel D,B,170,80,28,39,11,27,33,19,delicias
26,delicias,Dressel D,B,180,90,32,40,7,29,29,13,delicias
27,delicias,Dressel E,C,175,85,34,41,8,29,33,14,delicias
28,delicias,Dressel E,C,170,90,38,37,10,25,30,16,delicias
29,delicias,Dressel D,B,175,100,35,42,9,30,33,16,delicias
30,delicias,Dressel D,B,170,85,36,42,8,28,35,14,delicias
31,delicias,Dressel E,C,180,90,35,42,7,30,34,17,delicias
32,delicias,Dressel D,B,174,86,32,36,6,25,28,14,delicias
33,delicias,Dressel D,B,180,90,33,37,8,30,33,17,delicias
34,delicias,Dressel D,B,174,80,34,38,9,28,35,16,delicias
35,delicias,Dressel E,C,170,90,33,46,9,28,35,14,delicias
36,delicias,Dressel D,B,180,90,34,39,9,34,34,12,delicias
37,delicias,Dressel E,C,180,90,34,42,12,31,37,15,delicias
38,delicias,Dressel E,C,180,100,32,35,11,28,26,14,delicias
39,delicias,Dressel E,C,170,80,29,39,8,30,33,13,delicias
40,delicias,Dressel E,C,174,100,33,38,8,27,36,8,delicias
41,delicias,Dressel D,B,170,90,32,39,8,32,34,8,delicias
42,delicias,Dressel D,B,180,90,29,38,10,25,32,9,delicias
43,delicias,Dressel E,C,186,90,35,42,11,24,35,11,delicias
44,delicias,Dressel E,C,188,100,29,45,7,29,41,7,delicias
45,delicias,Dressel E,C,180,100,30,38,7,28,36,12,delicias
46,delicias,Dressel D,B,180,110,30,35,10,26,26,11,delicias
47,delicias,Dressel D,B,176,96,30,41,8,27,35,8,delicias
48,delicias,Dressel E,C,170,94,31,35,7,25,32,5,delicias
49,delicias,Dressel D,B,168,90,34,35,7,26,32,17,delicias
50,delicias,Dressel E,C,180,103,33,42,6,25,37,16,delicias
51,delicias,Dressel E,C,174,90,30,44,8,25,39,12,delicias
52,delicias,Dressel D,B,160,95,37,35,12,29,31,14,delicias
53,delicias,Dressel D,B,170,90,34,41,10,27,38,10,delicias
54,delicias,Dressel D,B,165,90,35,35,8,24,29,11,delicias
55,delicias,Dressel C,A-B,180,100,33,39,10,22,27,8,delicias
56,delicias,Dressel E,C,170,90,34,36,11,22,30,10,delicias
57,delicias,Dressel D,B,170,100,31,39,8,29,36,7,delicias
58,delicias,Dressel E,C,165,90,35,41,10,26,34,11,delicias
59,delicias,Dressel E,C,165,90,36,40,6,22,35,9,delicias
60,delicias,Dressel B,A,165,100,41,27,11,38,24,24,delicias
61,delicias,Dressel D,B,170,90,37,43,11,25,33,11,delicias
62,delicias,Dressel E,C,180,90,35,41,10,24,38,11,delicias
